ID	age	sex	culture	age_m	longitudinal	adult	condition	conc	concern.exp	pat	hug	kiss	object	verbal	comf	cue2	hypoth	conc9prop
UG67	18	F	Uganda	18	Y	Mother	control	N	0	N	N	N	N	N	N	NA	N	NA
UG67	18	F	Uganda	18	Y	Mother	experimental	Y	0.917619048	N	N	N	N	N	N	NA	Y	0.11181706
UG68	18	M	Uganda	18	Y	Mother	control	N	0	N	N	N	N	N	N	NA	N	NA
UG68	18	M	Uganda	18	Y	Mother	experimental	N	0	N	N	N	N	N	N	NA	N	0.021975561
UG69	18	F	Uganda	18	Y	Mother	control	N	0	N	N	N	N	N	N	NA	N	NA
UG69	18	F	Uganda	18	Y	Mother	experimental	N	0	N	N	N	N	N	N	NA	N	0.04197561
UG70	18	F	Uganda	18	Y	Mother	control	N	0	N	N	N	N	N	N	NA	N	NA
UG70	18	F	Uganda	18	Y	Mother	experimental	Y	0.035951069	Y	N	N	N	N	Y	After	Y	0.186071397
UG71	18	F	Uganda	18	Y	Mother	control	N	0	N	N	N	N	N	N	NA	N	NA
UG71	18	F	Uganda	18	Y	Mother	experimental	N	0	N	N	N	N	N	N	NA	N	0
UG72	18	M	Uganda	18	Y	Mother	control	N	0	N	N	N	N	N	N	NA	N	NA
UG72	18	M	Uganda	18	Y	Mother	experimental	N	0	N	N	N	N	N	N	NA	N	0.181041667
UG73	18	F	Uganda	18	Y	Mother	control	N	0	N	N	N	N	N	N	NA	N	NA
UG73	18	F	Uganda	18	Y	Mother	experimental	N	0	Y	N	N	N	N	Y	After	Y	0
UG74	18	F	Uganda	18	Y	Mother	control	N	0	N	N	N	N	N	N	NA	N	NA
UG74	18	F	Uganda	18	Y	Mother	experimental	Y	0.283559322	N	N	N	N	N	N	NA	Y	0
UG75	18	F	Uganda	18	Y	Mother	control	N	0	N	N	N	N	N	N	NA	N	NA
UG75	18	F	Uganda	18	Y	Mother	experimental	N	0	N	N	N	N	N	N	NA	Y	0
UG76	18	M	Uganda	18	Y	Mother	control	N	0	N	N	N	N	N	N	NA	N	NA
UG76	18	M	Uganda	18	Y	Mother	experimental	Y	0.317754728	N	N	N	N	N	N	NA	Y	0
